Prime#,Prime Reciprocal,Pattern Length
1129,0.0008857395925597874,564
1151,0.0008688097306689834,575
1153,0.0008673026886383347,1152
1163,0.0008598452278589854,581
1171,0.0008539709649871904,1170
1181,0.000846740050804403,1180
1187,0.0008424599831508003,593
1193,0.0008382229673093043,1192
1201,0.0008326394671107411,200
1213,0.0008244023083264633,202
1217,0.0008216926869350862,1216
1223,0.0008176614881439084,1222
1229,0.0008136696501220504,1228
1231,0.0008123476848090983,41
1237,0.0008084074373484236,206
1249,0.0008006405124099279,208
1259,0.0007942811755361397,1258
1277,0.0007830853563038371,638
1279,0.0007818608287724785,639
1283,0.000779423226812159,641
1289,0.0007757951900698216,92
1291,0.000774593338497289,1290
1297,0.0007710100231303007,1296
1301,0.0007686395080707148,1300
1303,0.0007674597083653108,1302
1307,0.0007651109410864575,653
1319,0.000758150113722517,659
1321,0.000757002271006813,55
1327,0.0007535795026375283,1326
1361,0.0007347538574577516,680
1367,0.000731528895391368,1366
1373,0.0007283321194464676,686
1381,0.000724112961622013,1380
1399,0.0007147962830593281,699
1409,0.0007097232079489,32
1423,0.0007027406886858749,158
1427,0.000700770847932726,713
1429,0.0006997900629811056,1428
1433,0.0006978367062107466,1432
1439,0.0006949270326615705,719
1447,0.000691085003455425,1446
1451,0.0006891798759476223,290
1453,0.0006882312456985547,726
1459,0.0006854009595613434,162
1471,0.0006798096532970768,735
1481,0.0006752194463200541,740
1483,0.0006743088334457181,247
1487,0.0006724949562878278,1486
1489,0.000671591672263264,248
1493,0.0006697923643670462,373
1499,0.00066711140760507,214
1511,0.0006618133686300463,755
1523,0.0006565988181221273,761
1531,0.0006531678641410843,1530
1543,0.0006480881399870382,1542
1549,0.0006455777921239509,1548
1553,0.000643915003219575,1552
1559,0.0006414368184733803,779
1567,0.0006381620931716656,1566
1571,0.0006365372374283895,1570
1579,0.0006333122229259025,1578
1583,0.0006317119393556538,1582
1597,0.0006261740763932373,133
1601,0.0006246096189881324,200
1607,0.0006222775357809583,1606
1609,0.0006215040397762585,201
1613,0.0006199628022318661,403
1619,0.0006176652254478073,1618
1621,0.0006169031462060457,1620
